Symbol,Name,LastSale,MarketCap,IPOyear,Sector,industry,Summary Quote
QTT,Qutoutiao Inc.,2.35,$627.04M,2018,Technology,"Computer Software: Programming, Data Processing",https://old.nasdaq.com/symbol/qtt
RRD,R.R. Donnelley & Sons Company,1.34,$95.68M,n/a,Miscellaneous,Publishing,https://old.nasdaq.com/symbol/rrd
RCM,R1 RCM Inc.,18.99,$2.22B,n/a,Consumer Services,Other Consumer Services,https://old.nasdaq.com/symbol/rcm
RXT,"Rackspace Technology, Inc.",17.16,$3.42B,2020,Technology,"Computer Software: Programming, Data Processing",https://old.nasdaq.com/symbol/rxt
RADA,RADA Electronic Industries Ltd.,6.8,$295.7M,n/a,Technology,Electronic Components,https://old.nasdaq.com/symbol/rada
RDCM,Radcom Ltd.,7.99,$111.41M,1997,Technology,Computer peripheral equipment,https://old.nasdaq.com/symbol/rdcm
RADI,"Radius Global Infrastructure, Inc.",8.97,$524.07M,n/a,Consumer Services,Real Estate,https://old.nasdaq.com/symbol/radi
RDUS,"Radius Health, Inc.",13.59,$631.56M,2014,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/rdus
RDNT,"RadNet, Inc.",16.77,$864.91M,n/a,Health Care,Medical Specialities,https://old.nasdaq.com/symbol/rdnt
RDWR,Radware Ltd.,24.34,$1.12B,1999,Miscellaneous,Business Services,https://old.nasdaq.com/symbol/rdwr
